id,modelId,description,category,synsetId,subSynsetId
47296,f497cbcc4895d5386b684500e5db87c2,It is a wooden chair.,Chair,3001627,4331277
104117,13076ebf8b5cc457b8d6f69a14683de3,dark brown color rectangle wooden chair having cushion seat and bend legs used for office and home,Chair,3001627,2738535
89163,86b6e539e72be6d46fa0ab61d9f9d96d,it is fix type chair . it is made up from wooden . it has brown color.,Chair,3001627,4331277
45304,ca05bd1afb0ffeaf6b9a484dedfb7d25,This is a wooden dining chair with a flat back.,Chair,3001627,4331277
61147,e4a93adf5399b23419fb4103277a6b93,"Sofa made of soft material, made for two people seating, six legs are on the base",Chair,3001627,2738535
109327,b60fb4126e9e7c2aee3907b60a74e8f8,Black rattan square framed single sofa with white cushions,Chair,3001627,2738535
110730,8e1f9f4e3cd226bacb916d8f4f1ff996,A simple beige school desk with a small writing surface that is half the width of the chair. It has a short back high on the frame.,Chair,3001627,3001627
107359,74346aabf555ee0295122b1ef21ee4c7,"This is a red, blue, and brown chair with arm rests.  It is made from wood and fabric",Chair,3001627,2738535
46474,efc62fa0fd71d739d42ec7e303174a87,"An interesting chair with a white back and white arms, but blue seat and legs",Chair,3001627,2738535
60630,f2129c67cb55c6868779f85a8bc31fb,Very tall and skinny wooden chair with split pieces of wood making up the backing of it. The seat is made of leather and is red.,Chair,3001627,4331277
84070,5cf26a5558580c8c75a82b88fe6e733f,A dark-red colored sofa for a single person.,Chair,3001627,20000027
61799,eba001ddae2ce5eed5d673747c0e3adb,A light brown colored wooden chair with a curved backrest for shoulder and and chest posture.,Chair,3001627,4331277
45096,97c343e28e2b9ea4bf4414e655b3a4c,"a modern looking black chair with no hand rests, curved back rest and an extra small back rest coming up from the edges",Chair,3001627,4331277
101074,10dc303144fe5d668d1b9a1d97e2846,This chair is gray and has a green seat. It has four legs and a stiff back.,Chair,3001627,4331277
97684,804cc836409c921ea666d560e4dc80d2,This chair is black. This chair is square shaped.,Chair,3001627,3001627
46851,bb7755090f984ba85dd1bba5b1310523,Metal chair that curves so it doesn't need legs.  Its like an S but without the top line.,Chair,3001627,3001627
67205,d1237422881f4d22ff25b0c2db862d19,This is a bright purple chair with a solid back and no arms.,Chair,3001627,3001627
72552,78abbfe9ab73729f56d13e757b0dc374,"a single metallic gray tube rounded chair, woven with straight lines of gray material for support",Chair,3001627,20000026
53940,86c4bc3f46e1bf7bad179769eda42205,"A dark brown wooden chair, very angular and sturdy. The top of the back of the chair has a slightly rounded overhang, with the back itself having two vertical rectangular spaces.",Chair,3001627,4331277
116540,9db73a6184c82d33f28699debac30ad6,the chair is red is made out of steel and have two iron legs,Chair,3001627,3001627
103000,395868f297f01d2d492d9da2668ec34c,a grey  office chair with silver legs and a minimalistic chair,Chair,3001627,20000027
45258,2194e6394a31194962e682c9809bff14,Brown chair with a white cushion,Chair,3001627,4331277
81208,d97c5945e9449a58737e4e0df09d751,Chair has four legs. The chair has an open back.,Chair,3001627,3001627
104118,30378faa6bf5b245fdef1c01cbd4ae0c,"A new-fashioned, black soft chair, with four legs base",Chair,3001627,3001627
97251,fd3d59ad4d0ddb44e15475f0b1eb22aa,"Chair with new style,Body green and black leg , materials from plastic, inox, that will make you happy",Chair,3001627,2738535
87265,9c825b20d4e35eb595a6db6161d501d6,this is a wooden easy chair made in simple design and it have bar of wood which are palce in straight way and hand resting part is desinged in curved shape,Chair,3001627,3376595
113350,1cc6f2ed3d684fa245f213b8994b4a04,"this chair is in brown color.
this is wooden shape.",Chair,3001627,4331277
95955,b47e994452b71943bf30e5b4764cebc0,"A wooden old fashioned chair with horizontal stripped backrest, seat, four legs",Chair,3001627,4331277
87580,f678b1e737eb4d5c738e43095496b061,A short but good looking brown wooden chair with holes,Chair,3001627,20000027
37875,7ec876482b8d80ce5a8ae8f7c307d01c,A white chair with a large back that fans out like a peacock's tail with white footstool in front of it.,Chair,3001627,20000027
97380,e9df7789d02eb998c8687ff9b0b4e4ac,A wooden small chair which is made purely with wood. It has two arms and four legs.,Chair,3001627,2738535
73780,1055f78d441d170c4f3443b22038d340,"A yellow chair made of wood, the base is arc in shape and the back rest doesn't complete the whole back",Chair,3001627,2738535
81098,97d75ad96c2c08268cbb8bac2032149c,a blockish white chair with a solid base. two basic armrests that connect to the base and a back that also come up from the base,Chair,3001627,3001627
42743,3d629d27b74fad91dbbc9440457e303e,it is a house chair which is grey in color,Chair,3001627,4331277
41982,f1f8e16d23d3a0ba95f2719038c22311,Modern wooden armless accent chair with built in lilac back cushion.,Chair,3001627,4331277
